Detailed Parameter,Simple Parameter,Reference,General Taxon/Grouping,Species,Resource General,Resource Species,Evidence of temperature dependence,Activation energy,Single species or multiple,Where to find in paper,Evidence that temp dependence differs between species,Notes,More notes,Their Data or Dataset?
"resource growth rate (µ: they don't call it specific growth rate, but that's what it seems to be)",resource growth rate,Kremer et al. (2017). Temperature- and size-scaling of phytoplankton population growth rates: Reconciling the Eppley curve and the metabolic theory of ecology. Limnology and Oceanography: 62(4): 1658-1670,Phytoplankton,Phytoplankton,,,Yes,0.3,multiple species,"**Dataset overlap: uses Thomas et al. (2012)
From page 1663 text and Table 2
E=0.30","Page 1664 text states that no significant interaction was found between E and functional group, suggesting that the activation energy is consistent across species",,,"dataset:
Makes use of a previously compiled dataset:
Thomas et al. (2012)."
"resource growth rate (unclear to me, see notes)",resource growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,micro-phytoplankton,,,Yes,0.52,multiple species,"From Table 1 (EO station)
E=0.52",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"resource growth rate (unclear to me, see notes)",resource growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,nano-phytoplankton,,,Yes,0.43,multiple species,"From Table 1 (EO station)
E=0.43",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"resource growth rate (unclear to me, see notes)",resource growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,pico-phytoplankton,,,Yes,0.31,multiple species,"From Table 1 (EO station)
E=0.31",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"resource growth rate (unclear to me, see notes)",resource growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,Synechococcus,,,Yes,0.58,single species (maybe),"From Table 1 (EO station)
E=0.58",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"resource growth rate (unclear to me, see notes)",resource growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,Picoeukaryotes,,,Yes,0.38,multiple species,"From Table 1 (EO station)
E=0.38",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"resource growth rate (unclear to me, see notes)",resource growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,micro-phytoplankton,,,Yes,0.34,multiple species,"From Table 1 (WE station)
E=0.34",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"resource growth rate (unclear to me, see notes)",resource growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,nano-phytoplankton,,,Yes,0.63,multiple species,"From Table 1 (WE station)
E=0.63",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"resource growth rate (unclear to me, see notes)",resource growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,pico-phytoplankton,,,Yes,0.43,multiple species,"From Table 1 (WE station)
E=0.43",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"resource growth rate (unclear to me, see notes)",resource growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,Synechococcus,,,Yes,0.54,single species (maybe),"From Table 1 (WE station)
E=0.54",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"resource growth rate (unclear to me, see notes)",resource growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton,Picoeukaryotes,,,Yes,0.48,multiple species,"From Table 1 (WE station)
E=0.48",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
resource growth rate (nutrient-enriched growth rate),resource growth rate,Chen et al. (2012). Does warming enhance the effect of microzooplankton grazing on marine phytoplankton in the ocean? Limnology and Oceanography: 57(2): 519-526,Phytoplankton,Phytoplankton,,,Yes,0.36,multiple species,"From page 522
E=0.36 (see notes)",,"There's a lot of fairly technical language in this paper that I'm not familiar with. As such, I'm not totally confident that I understand the process by which they arrived at this value of E.",,"dataset:
Builds upon a dataset from:
Calbet and Landry (2004)"
resource growth rate (nutrient-enriched growth rate),resource growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Synechococcus (measured by flow cytometry),,,Yes,0.71,single species (maybe),"From Table 2
E=0.71",,"They only ever give the genus name, so this could potentially be multiple species of Synechococcus",,their data
resource growth rate (nutrient-enriched growth rate),resource growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Synechococcus (measured by high-performance liquid chromatography),,,Yes,0.46,single species (maybe),"From Table 2
E=0.46",,"They only ever give the genus name, so this could potentially be multiple species of Synechococcus",,their data
resource growth rate (nutrient-enriched growth rate),resource growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Picoeukaryotes,,,Yes,0.6,multiple species,"From Table 2
E=0.60",,,,their data
resource growth rate (nutrient-enriched growth rate),resource growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Diatoms,,,Yes,0.59,multiple species,"From Table 2
E=0.59",,,,their data
resource growth rate (nutrient-enriched growth rate),resource growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Prasinophytes,,,Yes,0.52,multiple species,"From Table 2
E=0.52",,,,their data
resource growth rate (nutrient-enriched growth rate),resource growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Cryptophytes,,,Yes,0.54,multiple species,"From Table 2
E=0.54",,,,their data
resource growth rate (nutrient-enriched growth rate),resource growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Dinoflagellates,,,Yes,0.38,multiple species,"From Table 2
E=0.38",,,,their data
resource growth rate (nutrient-enriched growth rate),resource growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton,Green algae,,,Yes,0.61,multiple species,"From Table 2
E=0.61",,,,their data
resource growth rate,resource growth rate,"Aspaly et al. (2007). Temperature-dependent population growth of three species of stored product mites (Acari: Acaridida). Experimental and Applied Acarology: 42(1): 37-46
Activation energy calculated in: Dell et al. (2011) See full reference above",Mite,Acarus siro (adult),,,Yes,1.93,single species,From Table S3 in Dell et al. (2011),,"r was calculated exclusively from initial and final population sizes, density dependence was not considered",,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,"Aspaly et al. (2007). Temperature-dependent population growth of three species of stored product mites (Acari: Acaridida). Experimental and Applied Acarology: 42(1): 37-46
Activation energy calculated in: Dell et al. (2011) See full reference above",Mite,Aleuroglyphus ovatus (adult),,,Yes,1.74,single species,From Table S3 in Dell et al. (2011),,"r was calculated exclusively from initial and final population sizes, density dependence was not considered",,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,"Aspaly et al. (2007). Temperature-dependent population growth of three species of stored product mites (Acari: Acaridida). Experimental and Applied Acarology: 42(1): 37-46
Activation energy calculated in: Dell et al. (2011) See full reference above",Mite,Tyrophagus putrescentiae (adult),,,Yes,1.37,single species,From Table S3 in Dell et al. (2011),,"r was calculated exclusively from initial and final population sizes, density dependence was not considered",,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Aphid,Aphis gossypii (adult),,,Yes,0.91,single species,From Table S3,,"I was not able to access the original paper, but I did check the calculation from the BioTraits database",,dataset
resource growth rate (asexual reporoduction rate),resource growth rate,"Ma & Purcell. (2005). Effects of temperature, salinity, and predators on mortality of and colonization by the invasive hydrozoan Moerisia lyonsi. Marine Biology: 147(1): 215-244
Activation energy calculated in: Dell et al. (2011) See full reference above",Hydrozoan,Moerisia lyonsi ,,,Yes,1.56,single species,From Table S3 in Dell et al. (2011),,asexual reproduction rate was measured at a range of salinities. The activation energy calculated by Dell et al. appears to be from just one of those salinities.,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,"Kuo et al. (2006). Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera: Pemphigidae) on three host plants. Journal of Economic Entomology: 99(4): 1209-1213
Activation energy calculated in: Dell et al. (2011) See full reference above",Aphid,Tetraneura nigriabdominalis,,,Yes,0.87,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
resource growth rate,resource growth rate,"Weisse et al. (2002). Interactive effect of temperature and food concentration on growth rate: A test case using the small freshwater ciliate Urotricha farcta.Limnology and Oceanography: 47(5): 1447-1455
Activation energy calculated in: Dell et al. (2011). See full reference above",Cilliate,Urotricha farcta,,,Yes,0.6,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
K: resource carrying capacity,resource carrying capacity,"Bernhardt et al. (2018). Metabolic theory and the temperature-size rule explain the
temperature dependence of population carrying capacity. American Naturalist: 192(6): 687-697",Phytoplankton,Tetraselmis tetrahele,,,Yes,-0.34,single species,"From Table 1
E=-0.34 (accounting for size change with temp)",,This activation energy accounts for changing body size with temperature,,their data
K: resource carrying capacity,resource carrying capacity,"Bernhardt et al. (2018). Metabolic theory and the temperature-size rule explain the
temperature dependence of population carrying capacity. American Naturalist: 192(6): 687-697",Phytoplankton,Tetraselmis tetrahele,,,Yes,-0.22,single species,"From Table 1
E=-0.22 (without accounting for size change with temp)",,This activation energy does not account for changing body size,,their data
m: consumer mortality rate,mortality rate,McCoy & Gillooly (2008). Predicting natural mortality rates of plants and animals. Ecology Letters: 11: 710-716,Invertebrates,Invertebrates,,,Yes,0.47,multiple species,"**Dataset overlap: uses Pauly (1980)
From Corrigendum (see notes) Table 1
E=0.47 (invertebrates)
(given as -0.47)",,"A corrigendum was published in 2009 to correct for some misreported data, which altered the estimations of E for fish and invertebrates.",,"dataset:
Built upon the dataset from Pauly (1980)"
m: consumer mortality rate,mortality rate,Bevacqua et al. (2011). Intra-specific scaling of natural mortality in fish: the paradigmatic case of the European eel. Oecologia: 165(2): 333-339,Fish: Eel,Anguilla anguilla,,,Yes,1.22,single species,"From page 337 text
E=1.2
(1.22- males, 1.24- females (p.336))",,This activation energy is for males,,dataset
m: consumer mortality rate,mortality rate,Bevacqua et al. (2011). Intra-specific scaling of natural mortality in fish: the paradigmatic case of the European eel. Oecologia: 165(2): 333-339,Fish: Eel,Anguilla anguilla,,,Yes,1.24,single species,"From page 337 text
E=1.2
(1.22- males, 1.24- females (p.336))",,This activation energy is for females,,dataset
m: consumer mortality rate,mortality rate,"Benider et al. (2002). Growth of Moina macrocopa (Straus 1820) (Crustacea, Cladocera): influence of trophic conditions, population density and temperature. Hydrobiologia: 468(1):1-11
Activation energy calculated in: Dell et al. (2011) See full reference above",Cladocera,Moina macrocopa (adult),Algae,Chlorella sorokiniana,Yes,0.43,single species,From Table S3 in Dell et al. (2011),,,,"their data, part of Dell et al. (2011) dataset"
m: consumer mortality rate,mortality rate,"Chen et al. (1995). Effects of temperature upon ablation-to-molt interval and mortality of red swamp crawfish (Procambarus clarkii) subjected to bilateral eyestalk ablation. Aquaculture: 138(1): 191-204
Activation energy calculated in: Dell et al. (2011) See full reference above",Crayfish,Procambarus clarkii (adult),,,Yes,0.68,single species,From Table S3 in Dell et al. (2011),,"The crayfish in this experiment had their eyestalks removed and many died during molting, so these factors could affect the measured mortality rates",,"their data, part of Dell et al. (2011) dataset"
m: consumer mortality rate,mortality rate,"Chen et al. (1995). Effects of temperature upon ablation-to-molt interval and mortality of red swamp crawfish (Procambarus clarkii) subjected to bilateral eyestalk ablation. Aquaculture: 138(1): 191-204
Activation energy calculated in: Dell et al. (2011) See full reference above",Crayfish,Procambarus clarkii (juvenile),,,Yes,0.66,single species,From Table S3 in Dell et al. (2011),,"The crayfish in this experiment had their eyestalks removed and many died during molting, so these factors could affect the measured mortality rates",,"their data, part of Dell et al. (2011) dataset"
m: consumer mortality rate,mortality rate,Valderrama & Fields. (2017). Flawed evidence supporting the Metabolic Theory of Ecology may undermine goals of ecosystem-based fishery management: the case of invasive Indo-Pacific lionfish in the western Atlantic. ICES Journal of Marine Science: 74(5): 1256-1267,Fish,Fish,,,Yes,0.39,multiple species,"**Dataset overlap: uses Pault (1980)
From Fig.1a",,They recalculated E from the Pauly (1980) dataset because previous studies using the dataset had failed to account for the alterred temperatures for polar fishes,,"dataset:
Compiled by Pauly (1980)"
c: consumption rate (attack rate),consumption rate,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Petchey et al. (2010). Predicting the effects of temperature on food web connectance. Philosophical Transactions of the Royal Society B- Biological Sciences: 365(1549): 2081-2091",Damselfly,Ischnura elegans,,Daphnia magna,Yes,0.509,single species,"From Petchey et al. (2010) Fig. 1e
E=0.509",,"Plots of # prey eaten/prey density are available in the original paper (Fig. 6), showing the response across a range of temperatures.","Fig.1 in Petchey et al. shows log (base 10) transformed attack rate vs. temp in Celsius, but it is noted that the activation energy is calculated from a typically linearized Arrhenius function","their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,"Zhang et al. (1998). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Aponychus corpuzae (Acari: Tetranychidae). Systematic and Applied Acarology: 3: 53-58
Activation energy calculated by: Petchey et al. (2010). See full reference above",Mite,Amblyseius longispinosus,Mite,Aponychus corpuzae,"Maybe, maybe not: Zhang et al. found a linear trend, but Petchey et al. determined that the activation energy was not significant",0.152,single species,"From Petchey et al. (2010) Fig. 1f
E=0.152 (but see notes)",,The activation energy was not found to be significantly different from 0,Zhang et al. (1998) calculated linear temperature dependence in the original paper (see Fig. 1). ,"their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,"Zhang et al. (1999). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Schizotetranychus nanjingensis (Acari: Tetranychidae), a spider mite injurious to bamboo in Fujian, China
Activation energy calculated by: Petchey et al. (2010). See full reference above",Mite,Amblyseius longispinosus,Mite,Schizotetranychus nanjingensis,Yes,0.432,single species,"From Petchey et al. (2010) Fig 1g
E=0.432",,,,"their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Petchey et al. (2010). See full reference above",Ladybug,Coccinella septempunctata,Aphid,Aphis gossypii,Yes,0.572,single species,"From Petchey et al. (2010) Fig 1h
E=0.572",,"Petchey et al. state that they have corrected the data for variation in predator and prey size, but this process is not described or made clear.",,"their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Brown et al. (2004). Toward a metabolic theory of ecology. Ecology: 85(7): 1771-1789",Midge,Chaoborus americanus (juvenile),Cladocera,Daphnia pulex,Yes,0.56,single species,"From Brown et al. (2004) Table 1
E=0.56",,Spitze (1985) Fig. 8 shows attack rate vs temperature,,"their data, used in Brown et al. (2004)"
c: consumption rate (attack rate),consumption rate,"Eggleston (1990). Behavioural mechanisms underlying variable functional responses of blue crabs, Callinectes sapidus feeding on juvenile oysters, Crassostrea virginica. Journal of Animal Ecology: 59(2): 615-630
Activation energy calculated by: Brown et al. (2004). See full reference above",Crab,Callinectes sapidus,Oyster,Crassostrea virginica,Yes,0.8,single species,"From Brown et al. (2004) Table 1
E=0.80",,,,"their data, used in Brown et al. (2004)"
c: consumption rate (feeding rate coefficient),consumption rate,"Luecke & O'Brien. (1983). The effect of Heterocope predation on zooplankton communities in arctic ponds. Limnology and Oceanography: 28(2)
Activation energy calculated by: Brown et al. (2004). See full reference above",Copepod,Heterocope septentrionalis,Zooplankton,Zooplankton,Yes,0.81,single species,"From Brown et al. (2004) Table 1
E=0.81",,"Brown et al. (2004) calculate E for ""feeding rate"" but Luecke & O'Brien describe a ""feeding rate coefficient."" The formula for calculating feeding rate coefficient is provided on page 368.",Luecke & O'Brien (1983) Fig.1 shows feeding rate coefficient vs temperature for 5 different prey species.,"their data, used in Brown et al. (2004)"
